service_url,verified,service_id,account,details_url,agencies/0/agency_id,agencies/0/agency_name,agencies/0/agency_url,organization,agencies/1/agency_id,agencies/1/agency_name,agencies/1/agency_url,agencies/2/agency_id,agencies/2/agency_name,agencies/2/agency_url
http://facebook.com/ActAgainstAIDS,true,facebook,ActAgainstAIDS,http://registry.usa.gov/accounts/facebook/ActAgainstAIDS,hhs,Department of Health and Human Services (HHS),http://www.hhs.gov,Centers for Disease Control and Prevention,,,,,,
http://facebook.com/ACUSgov,true,facebook,ACUSgov,http://registry.usa.gov/accounts/facebook/ACUSgov,acus,Administrative Conference of the United States (ACUS),http://www.acus.gov,Administrative Conference of the United States,,,,,,
http://facebook.com/adana.usconsulate,true,facebook,adana.usconsulate,http://registry.usa.gov/accounts/facebook/adana.usconsulate,state,Department of State,http://www.state.gov,U.S. Consulate General - Adana,,,,,,
http://facebook.com/afosr,true,facebook,afosr,http://registry.usa.gov/accounts/facebook/afosr,defense,Department of Defense (DOD),http://www.defense.gov,Air Force Office of Scientific Research (AFOSR),,,,,,
http://facebook.com/AHRQehc.espanol,true,facebook,AHRQehc.espanol,http://registry.usa.gov/accounts/facebook/AHRQehc.espanol,ahrq,Agency for Healthcare Research and Quality (AHRQ),http://www.ahrq.gov/,Agency for Healthcare Research and Quality (AHRQ),,,,,,
http://facebook.com/AIDS.gov,true,facebook,AIDS.gov,http://registry.usa.gov/accounts/facebook/AIDS.gov,hhs,Department of Health and Human Services (HHS),http://www.hhs.gov,AIDS.gov,,,,,,
http://facebook.com/AIDSinfo,true,facebook,AIDSinfo,http://registry.usa.gov/accounts/facebook/AIDSinfo,hhs,Department of Health and Human Services (HHS),http://www.hhs.gov,AIDSinfo,,,,,,
http://facebook.com/airc.lahore.usconsulate,true,facebook,airc.lahore.usconsulate,http://registry.usa.gov/accounts/facebook/airc.lahore.usconsulate,state,Department of State,http://www.state.gov,U.S. Consulate General - Lahore (Information Resource Center),,,,,,
http://facebook.com/AirmanMagazine,true,facebook,AirmanMagazine,http://registry.usa.gov/accounts/facebook/AirmanMagazine,defense,Department of Defense (DOD),http://www.defense.gov,Airman Magazine,airforce,Department of the Air Force,http://www.af.mil/,,,
http://facebook.com/airnow,true,facebook,airnow,http://registry.usa.gov/accounts/facebook/airnow,epa,Environmental Protection Agency (EPA),http://www.epa.gov,EPA AIR Now,,,,,,
http://facebook.com/AIT.Social.Media,true,facebook,AIT.Social.Media,http://registry.usa.gov/accounts/facebook/AIT.Social.Media,state,Department of State,http://www.state.gov,American Institute in Taiwan,,,,,,
http://facebook.com/albania.peacecorps,true,facebook,albania.peacecorps,http://registry.usa.gov/accounts/facebook/albania.peacecorps,peacecorps,Peace Corps,http://www.peacecorps.gov,Peace Corps Albania,,,,,,
http://facebook.com/AlertaenLinea,true,facebook,AlertaenLinea,http://registry.usa.gov/accounts/facebook/AlertaenLinea,ftc,Federal Trade Commission (FTC),http://www.ftc.gov,Federal Trade Commission,,,,,,
http://facebook.com/alertnih,true,facebook,alertnih,http://registry.usa.gov/accounts/facebook/alertnih,nih,National Institutes of Health (NIH),http://www.nih.gov/,"Division of Emergency Preparedness and Coordination, ORS, NIH",,,,,,
http://facebook.com/AlexandriaVAMC,true,facebook,AlexandriaVAMC,http://registry.usa.gov/accounts/facebook/AlexandriaVAMC,va,Department of Veterans Affairs (VA),http://www.va.gov,"Alexandria, Louisiana VA Medical Center",,,,,,
http://facebook.com/AllHandsMagazine,true,facebook,AllHandsMagazine,http://registry.usa.gov/accounts/facebook/AllHandsMagazine,navy,Department of the Navy,http://www.navy.mil/,All Hands Magazine,,,,,,
http://facebook.com/AmbasciataUSA,true,facebook,AmbasciataUSA,http://registry.usa.gov/accounts/facebook/AmbasciataUSA,state,Department of State,http://www.state.gov,U.S. Embassy - Italy,,,,,,
http://facebook.com/ambassadorrice,true,facebook,ambassadorrice,http://registry.usa.gov/accounts/facebook/ambassadorrice,state,Department of State,http://www.state.gov,Ambassador Susan E. Rice,,,,,,
http://facebook.com/AmCornerDEB,true,facebook,AmCornerDEB,http://registry.usa.gov/accounts/facebook/AmCornerDEB,state,Department of State,http://www.state.gov,American Corner - Debrecen,,,,,,
http://facebook.com/AmericanCenter.Alex,true,facebook,AmericanCenter.Alex,http://registry.usa.gov/accounts/facebook/AmericanCenter.Alex,state,Department of State,http://www.state.gov,American Center - Alexandria,,,,,,
http://facebook.com/americancenternewdelhi,true,facebook,americancenternewdelhi,http://registry.usa.gov/accounts/facebook/americancenternewdelhi,state,Department of State,http://www.state.gov,U.S. Embassy - New Delhi,,,,,,
http://facebook.com/AmericanCitizenServicesMonterrey,true,facebook,AmericanCitizenServicesMonterrey,http://registry.usa.gov/accounts/facebook/AmericanCitizenServicesMonterrey,state,Department of State,http://www.state.gov,U.S. Consulate General in Monterrey,,,,,,
http://facebook.com/americancornerlimon,true,facebook,americancornerlimon,http://registry.usa.gov/accounts/facebook/americancornerlimon,state,Department of State,http://www.state.gov,American Corner - Costa Rica,,,,,,
http://facebook.com/AmericanEmbassyManama,true,facebook,AmericanEmbassyManama,http://registry.usa.gov/accounts/facebook/AmericanEmbassyManama,state,Department of State,http://www.state.gov,U.S. Embassy - Bahrain,,,,,,
http://facebook.com/americanfolklifecenter,true,facebook,americanfolklifecenter,http://registry.usa.gov/accounts/facebook/americanfolklifecenter,loc,Library of Congress (LOC),http://www.libraryofcongress.gov,American Folklife Center,,,,,,
http://facebook.com/AmericanForcesPressService,true,facebook,AmericanForcesPressService,http://registry.usa.gov/accounts/facebook/AmericanForcesPressService,defense,Department of Defense (DOD),http://www.defense.gov,American Forces Press Service,,,,,,
http://facebook.com/100138483529630,true,facebook,100138483529630,http://registry.usa.gov/accounts/facebook/100138483529630,doi,Department of the Interior (DOI),http://www.doi.gov,DOI OST FTO,,,,,,
http://facebook.com/101021618323,true,facebook,101021618323,http://registry.usa.gov/accounts/facebook/101021618323,state,Department of State,http://www.state.gov,U.S. Embassy - Niamey (American Cultural Center),,,,,,
http://facebook.com/101032454198,true,facebook,101032454198,http://registry.usa.gov/accounts/facebook/101032454198,state,Department of State,http://www.state.gov,Embajada de los Estados Unidos Santo Domingo,,,,,,
http://facebook.com/10150128749195307,true,facebook,10150128749195307,http://registry.usa.gov/accounts/facebook/10150128749195307,state,Department of State,http://www.state.gov,American Corner - Stip,,,,,,
http://facebook.com/103695769458,true,facebook,103695769458,http://registry.usa.gov/accounts/facebook/103695769458,treasury,Department of the Treasury,http://www.treasury.gov,US Mint,,,,,,
http://facebook.com/104690392900835,true,facebook,104690392900835,http://registry.usa.gov/accounts/facebook/104690392900835,state,Department of State,http://www.state.gov,U.S. Embassy - Bern,,,,,,
http://facebook.com/105198680666,true,facebook,105198680666,http://registry.usa.gov/accounts/facebook/105198680666,state,Department of State,http://www.state.gov,U.S. Embassy Harare,,,,,,
http://facebook.com/105399191715,true,facebook,105399191715,http://registry.usa.gov/accounts/facebook/105399191715,state,Department of State,http://www.state.gov,U.S. Consulate General - Melbourne,,,,,,
http://facebook.com/105986446958,true,facebook,105986446958,http://registry.usa.gov/accounts/facebook/105986446958,state,Department of State,http://www.state.gov,American Corner - Tetovo,,,,,,
http://facebook.com/106467849390602,true,facebook,106467849390602,http://registry.usa.gov/accounts/facebook/106467849390602,hud,Department of Housing and Urban Development (HUD),http://www.hud.gov,Fannie Mae,,,,,,
http://facebook.com/106757492152,true,facebook,106757492152,http://registry.usa.gov/accounts/facebook/106757492152,nasa,National Aeronautics and Space Administration (NASA),http://www.nasa.gov,NASA,,,,,,
http://facebook.com/108194222569430,true,facebook,108194222569430,http://registry.usa.gov/accounts/facebook/108194222569430,state,Department of State,http://www.state.gov,U.S. Embassy - Sofia,,,,,,
